Symbol Name,KOSPI 200_return,S&P 500_return,US_BOND_return,KOR_BOND_return,S&P 500_cum,KSPI 200_cum,US_BOND_cum,KOR_BOND_cum,snp_exposure_return(cum),snp_hedged_return(cum),us_bond_exposure_return(cum),us_bond_hedged_return(cum)
2015-10-28,-0.0009998400255959439,0.011839933394323987,-0.0026849209036815536,0.0002966942574558207,1.1164431483766217,0.967765681298671,1.0412920497019902,1.07784559524987,1.1816247094345385,1.1164403279199464,1.1020860466157294,1.0412894190986166
2015-10-29,-0.0034428920293045895,-0.00044968545937285054,-0.002643641919914619,-0.0002966062560829652,1.1159411001265802,0.9644337685482933,1.0385392463885241,1.0775258995032273,1.1828683311502648,1.1159359424298905,1.1008243939310995,1.0385344464305044
2015-10-30,0.0019282529225082001,-0.0048099702786910115,0.000851125917999962,-0.0004613269991181612,1.1105734566022016,0.9662934407810623,1.0394231740579858,1.0770288077135373,1.1869461634325364,1.1105719465448973,1.110902967558418,1.039421760744398
2015-11-02,0.004771260174010639,0.011873845798707316,-0.0013849405933377135,-9.894373123331413e-05,1.1237602345740336,0.9709038781914687,1.0379836347105769,1.0769222424646563,1.1971495163603991,1.123757703223926,1.105771113848674,1.0379812965783806
2015-11-03,0.006065442936951326,0.002728072051519481,-0.001508515815085154,-0.0002304965274423365,1.126825933462584,0.9767928402619038,1.0364178199818164,1.0766740156274428,1.2019968625942103,1.1268230900343588,1.1055575940880136,1.0364152046890769
2015-11-04,0.0008329366968111707,-0.0035453765540646165,-0.0009503387104634609,-0.0005280713483066801,1.1228309112175738,0.9776064468637402,1.0354328720072736,1.0761054549283238,1.1906966268469297,1.1228282088781765,1.0980161088445397,1.0354303800104685
2015-11-05,-0.0021400546902866635,-0.0011320880364932284,-0.0004878167760189456,-0.00023067147933952814,1.1215597677759797,0.9755143156018751,1.034927770481867,1.07585722809111,1.1852561355753828,1.121556328673453,1.093704076309196,1.0349245970239624
2015-11-06,-0.006116207951070263,-0.00034763063530685034,-0.0035872032016399658,-0.0011880246169614361,1.121169879241373,0.969547867188408,1.0312152742701284,1.074579083219802,1.192816494840349,1.1211647920861496,1.0971134808875027,1.0312105952716413
2015-11-09,-0.004155844155844135,-0.00982278963414629,-0.0008816614420062985,-0.0023135543046896023,1.1101568633734438,0.9655185773507419,1.0303060915243965,1.0720929861560893,1.1826577513445014,1.1101550125343709,1.097592174223127,1.030304373811491
2015-11-10,-0.013442478231210586,0.0015106466914911465,0.001103049318560645,0.000861261846814454,1.1118339181661352,0.9525396148928751,1.0314425699565615,1.073016338941303,1.2005684178101952,1.1118312451435413,1.1137611059008867,1.031440090207339
2015-11-12,-0.0029284958919711945,-0.017173299002747666,0.0002938223843684806,-0.0003306492857737542,1.0927400618480716,0.9497501065437216,1.0317456308718052,1.0726615468552085,1.1806663767048589,1.0927405280453149,1.1147640854516847,1.0317460710469077
2015-11-13,-0.009912702945255703,-0.011207397957936904,0.0018113724818251686,0.0002974448299331023,1.0804932891103598,0.9403355158653287,1.0336145065158098,1.0729806044865884,1.1671308965923564,1.080495678719664,1.1164932146075062,1.0336167924484172
2015-11-16,-0.01582135058300027,0.014903313824738973,0.000293204974711081,0.0009931703185994678,1.096596219683496,0.9254581380031769,1.0339175674310537,1.0740462569753975,1.1915018618248914,1.0965967302766024,1.1233986443279216,1.0339180488399562
2015-11-17,0.010005442290785815,-0.0013393792099123392,0.0,-0.00023170785323278764,1.0951274615051834,0.9347177559955057,1.0339175674310537,1.0737973920229211,1.2015868021211906,1.0951289912777438,1.13442658245359,1.0339190117001273
2015-11-18,0.0007460830639145488,0.016162384658902518,-0.00024426585896075714,0.00036368736198300056,1.1128273327885576,0.9354151330827941,1.0336650166683505,1.0741879185637302,1.2173631338850879,1.1128281531775956,1.130764537320954,1.0336657786980237
2015-11-19,0.013875082836315444,-0.0011230670288638889,0.0011238974810037217,0.0005619659541302724,1.1115775531022842,0.9483940955406609,1.0348267501767856,1.074791575602301,1.2203640539017784,1.1115781139332765,1.13610189807021,1.034827272284228
2015-11-20,4.085134196674112e-05,0.0038102285176147,-0.000658938377059104,-0.0005943044144764986,1.115812917594655,0.948432838712177,1.0341448631174868,1.0741528222242784,1.215409242761693,1.1158131340847708,1.1264515808770381,1.0341450637623597
2015-11-23,0.004575163398692794,-0.0012349401915593416,0.00041516069160874025,-3.3267570475170594e-05,1.114434955376456,0.9527720739219712,1.0345741994140822,1.0741170877695638,1.2062965941944443,1.114436901781022,1.1198530045865942,1.0345760063386908
2015-11-24,0.006465517241379226,0.0012220896294909966,0.00043939948736726464,0.0,1.115796894778164,0.9589322381930184,1.0350287907869482,1.0741170877695638,1.2088147683978634,1.1157986270977116,1.121313470108727,1.0350303977107664
2015-11-25,-0.00375742394246692,-0.0001292397828771552,0.0002196032501282641,9.92119482077225e-05,1.115652689429748,0.9553291232420286,1.0352560864733813,1.0742236530184446,1.2062577169769992,1.1156533823018981,1.1193318988853287,1.035256729415506
2015-11-27,0.010098142590639902,0.0005936223891387371,0.0004635050741608193,-0.0005619472601209319,1.1163149658446962,0.9649761729495175,1.0357359329225175,1.073619995979874,1.1966336605242034,1.1163170892745191,1.1102569782460034,1.035737903076673
2015-11-30,-0.01939213875617285,-0.004640904067250151,0.00024383701933627933,0.00042972125771023606,1.1111342551793755,0.9462632211072798,1.0359884836852207,1.0740813533148492,1.1959663614879805,1.1111359376431138,1.115083412828853,1.035990052364297
2015-12-01,0.01826072715361926,0.010680586999677999,0.002681553350722954,-6.594546488281061e-05,1.1230018212601411,0.9635426756034248,1.0387665420749572,1.0740105225206829,1.2164101875681752,1.1230074928675264,1.1251684372756157,1.0387717882605645
2015-12-02,-0.008443908323281013,-0.010995752937987158,-0.0009968150543386844,0.0003636151905594964,1.1106535706846552,0.9554066095850605,1.0377310839478735,1.0744010490614921,1.2034505054359088,1.110656935143974,1.1244352248503295,1.037734227505962
2015-12-03,-0.007785888077858849,-0.014373578391063457,-0.005110732538330387,0.0002642972958526446,1.0946895045211047,0.9479679206539847,1.0324275179311042,1.0746850103534202,1.187381682813732,1.0946870846039782,1.1198476997918498,1.0324252356501267
2015-12-04,-0.010340035965342498,0.020525755993794137,0.0016878669275930402,-0.000759431287500334,1.1171588341798722,0.9381658982604316,1.034170118193757,1.0738688609323501,1.2202200814198942,1.1171600478800605,1.1295754079148506,1.0341712417336055
2015-12-07,-0.006070617385917854,-0.00698956346303703,0.001685022833280314,0.00019787554163230858,1.1093503816100796,0.9324706520475766,1.0359127184564099,1.0740813533148492,1.2006891106348616,1.1093530943296246,1.1212049332993776,1.0359152515971783
2015-12-08,-0.00602459697523694,-0.006489911269239812,0.00019503632551565175,0.0011573132035298528,1.1021507960669328,0.9268528921777536,1.0361147590665725,1.0753244018467056,1.2027963028934046,1.1021511383505327,1.1307300289813345,1.0361150808420418
2015-12-09,0.0007106132174059532,-0.007738940390290883,0.0004874957344123132,0.00014063971487510152,1.0936213167550592,0.927511526093526,1.036619860591979,1.0754756351639796,1.2033108799625278,1.0936212742961544,1.1405922118788991,1.0366198203461063
2015-12-10,0.005012531328320691,0.00225139430167709,-0.0007065243872727001,0.00023258656432845193,1.0960834895557943,0.9321607066754484,1.0358874633801396,1.0757257763469814,1.2082761670982756,1.0960827237471804,1.1419186090517222,1.0358867396291207
2015-12-11,-0.0010390689941811582,-0.01942277425044958,0.004169003096277102,0.00016550143375271276,1.074794507378507,0.9311921273875479,1.040206081422366,1.0759038105052916,1.184104165829147,1.0747991427659482,1.1459979985730129,1.040210567636403
2015-12-14,-0.009070106095277697,0.00475558669628362,-0.0034476060988637425,0.000564628291317204,1.0799057858390348,0.9227461159970554,1.036619860591979,1.0765112962354388,1.1919581358105442,1.0799056181563575,1.1441808098244366,1.0366196996305361
2015-12-15,0.0026451694168032613,0.010618514891638675,-0.0016810407835111674,-0.00023236280369431928,1.0913727815075336,0.9251869358025648,1.0348772603293261,1.076261155052437,1.211150127382191,1.09137032532404,1.148454265041742,1.034874931291542
2015-12-16,0.019639865996649908,0.014514952946300674,-0.001269004563535625,-0.00016601200622534673,1.1072140060779885,0.9433574832435783,1.033563996363269,1.0760824827788644,1.225414902497804,1.1072105700723005,1.1439023683552687,1.0335607889148888
2015-12-17,0.0027927224937367434,-0.015040495497016582,0.0020525351252289603,0.0008966136822534665,1.0905609588053389,0.9459920189066676,1.0356854227699768,1.0770473130561573,1.2021883623357508,1.0905582917450336,1.1416958880123378,1.0356828899124988
2015-12-18,-0.004791743457427167,-0.017797236873680844,0.0018776366163526514,0.0012275921479130147,1.0711519870962918,0.9414590678392932,1.0376300636427922,1.0783694878805958,1.1814942716951895,1.0711484104078197,1.1445191635745584,1.037626598887527
2015-12-21,0.0031275720164609666,0.007778414898656383,9.73567638611339e-05,0.000828437171029206,1.079483851671447,0.9444035488745108,1.0377310839478735,1.0792628492484597,1.196138403381825,1.0794798695952454,1.1498736178138722,1.0377272558922277
2015-12-22,0.007056120774532326,0.008816762734086936,-0.0015818934047212574,-0.0002979905151511142,1.0890014046669123,0.9510673743752662,1.0360895039903022,1.078941239156029,1.2004691756910144,1.088996205605908,1.142141330091106,1.0360845575388888
2015-12-23,0.0042773342023789684,0.012418034595898853,-0.0012675198049969527,0.00026495941330395567,1.1025246617850486,0.9551354073844485,1.034776240024245,1.0792271147937451,1.2132103805439705,1.10251845803584,1.1386604939114096,1.0347704174857544
2015-12-24,-0.00486756175718972,-0.0015986125980361754,0.0008054084397042249,6.622230710240373e-05,1.1007621519710733,0.950486226802526,1.0356096575411657,1.0792985837031743,1.2067393464301148,1.1007560427350207,1.1353142175720286,1.0356039099018188
2015-12-28,-0.014429543879672324,-0.0021785646703768036,0.0003901868019315913,-3.310896099939509e-05,1.0983640704363014,0.9367711440858548,1.0360137387614912,1.0792628492484597,1.2033910240277967,1.0983583148086755,1.1350786752336326,1.0360083098609507
2015-12-29,-0.0023574175937797204,0.010629710673474513,-0.003266539905416699,0.0007615313164972548,1.110039362719179,0.9345627833094416,1.0326295585412668,1.0800847417068944,1.2099512140417699,1.1100291155194562,1.1255739480731437,1.0326200259411795
2015-12-30,-0.0034822983168891763,-0.007217228968994793,0.00019565642731356192,6.616972416084721e-05,1.1020279544738376,0.9313083569020959,1.0328315991514294,1.0801562106163236,1.2040026594677211,1.1020186348495864,1.1284033105624292,1.0328228647065545
2016-01-04,-0.02392045927281805,-0.02457157258064513,0.003105438184663578,0.0009263148442544278,1.0749493946045836,0.9090310332803843,1.0360389938377614,1.081156775348331,1.178743160999787,1.07494088353655,1.1360756930930545,1.0360307908484798
2016-01-05,0.006393044367727807,0.002012262379140095,-0.0004875313848330398,-0.00016526028199304044,1.0771124748308258,0.9148425090077873,1.0355338923123547,1.0809781030747585,1.193510763418925,1.0771048660458695,1.1474389864011243,1.0355265772409155
2016-01-06,-0.006479481641468721,-0.013115420660382515,0.0030973343413898125,0.00013223007797447117,1.0629856916248739,0.9089148037658362,1.0387412869986867,1.0811210408936167,1.1812388715782773,1.062980118006194,1.1542973676724742,1.0387358405021945
