Symbol Name,KOSPI 200_return,S&P 500_return,US_BOND_return,KOR_BOND_return
2014-08-25,0.00075683,0.004787769,0.000174385,0.000688074
2014-08-26,0.002571277,0.001051093,7.47E-05,0.000883702
2014-08-27,0.002790978,5.00E-05,0.001095863,0.000326962
2014-08-28,0.00116594,-0.001689899,0.000945391,-3.31E-05
2014-08-29,-0.002930238,0.003320412,9.94E-05,0.000621294
2014-09-02,-0.010549716,-0.000544083,-0.002559833,0.000163331
2014-09-03,-0.001294696,-0.000779112,0.000622913,-0.000555361
2014-09-04,0.003507835,-0.001534448,-0.001543863,3.24E-05
2014-09-05,-0.00417949,0.005035917,0.000349153,0.00134828
2014-09-11,-0.008737457,-0.0051103,-0.002891975,0.000262816
2014-09-12,0.006120092,-0.005962602,-0.001400175,0.002753862
2014-09-15,-0.003175332,-0.000710134,0.000776184,-3.29E-05
2014-09-16,0.00341572,0.007484389,-5.00E-05,0.000752572
2014-09-17,0.009791547,0.001290658,-0.001251001,0.000196067
2014-09-18,-0.008673914,0.004896181,-2.51E-05,0.000293423
2014-09-19,0.002254318,-0.000477289,0.001453015,0.000130854
2014-09-22,-0.008234532,-0.008013331,0.001025641,0.000750919
2014-09-23,-0.006380934,-0.005776492,0.00082467,0.000261478
2014-09-24,0.001508762,0.007832477,-0.001023746,0.000521581
2014-09-25,-0.001622373,-0.016168743,0.00209958,0.0004563
2014-09-26,-0.000502979,0.008575832,-0.000922877,0.00052169
2014-09-29,-0.001470987,-0.002546839,0.001273249,0
2014-09-30,-0.00457453,-0.00279098,-0.000623348,0.001139945
2014-10-01,-0.015422362,-0.013243556,0.00381727,0.002277294
2014-10-02,-0.010877734,5.14E-06,-0.001292439,-0.00038896
2014-10-06,-0.003479165,0.009582924,0.000597282,-0.000389728
2014-10-07,0.002969622,-0.015126068,0.002586679,-0.00068229
2014-10-08,-0.006281759,0.01746163,0.001810965,0.000129637
2014-10-10,-0.013287164,-0.031875829,0.00076765,0.000812905
2014-10-14,-0.002407574,-0.014915037,0.003216707,-0.000551981
2014-10-15,-0.002454289,-0.008100336,0.002737766,-3.27E-05
2014-10-16,-0.004428589,0.000144967,-0.001229861,0.001397113
2014-10-17,-0.012150418,0.012884107,-0.001403768,0.000357418
2014-10-20,0.016927952,0.009142657,0.000838512,-0.000357291
2014-10-21,-0.009922099,0.019574477,-0.001059583,0.000616855
2014-10-22,0.010932582,-0.007299308,-0.000172673,0.000324558
2014-10-23,-0.003031296,0.012303397,-0.00185039,0.000551015
2014-10-24,-0.001931136,0.007053444,0.000247176,0.00061532
2014-10-27,0.004034416,-0.001501593,0.000420095,-0.00025889
2014-10-28,-0.002419123,0.011939051,-0.001012746,0.000194372
2014-10-29,0.021948212,-0.001385356,-0.001557748,0.000356074
2014-10-30,0.000804376,0.006230137,0.000445765,0.000518245
2014-10-31,0.006470021,0.011731381,-0.000816872,0.001682347
2014-11-03,-0.007027351,-0.000118927,-0.000247739,0.000387676
2014-11-04,-0.008765933,-0.002829801,0.000272581,0.000710669
2014-11-05,-0.00263681,0.005700512,-2.48E-05,0.000128675
2014-11-06,0.005409583,0.003775506,-0.001362567,0.000226071
2014-11-07,0.000809094,0.000349545,0.002704044,-0.000290335
2014-11-10,0.013137152,0.003120202,-0.001830822,-0.000613312
2014-11-12,0.002473667,-4.91E-06,-7.44E-05,-0.002324168
2014-11-13,-0.004576932,0.000529866,0.000743642,-9.71E-05
2014-11-14,-0.007716605,0.000240275,0.000941246,0.000452933
2014-11-17,0.00048352,0.000735359,-0.000445434,0.000420785
2014-11-18,0.009464358,0.005133933,0.000519905,0.000452538
2014-11-19,-0.001276681,-0.001501121,-0.001113503,0.000129501
2014-11-20,-0.005472776,0.001967082,0.000817479,0.000775678
2014-11-21,0.003775707,0.005236877,0.001014826,-0.000129384
2014-11-24,0.009763906,0.002864066,0.000346175,0.00138845
2014-11-25,-0.002457002,-0.001150086,0.001285347,0.000580577
2014-11-26,0.001112347,0.002805958,0.000740594,0.00029012
2014-11-28,0.006746032,-0.002542418,0.002466821,0.000966786
2014-12-01,-0.00831691,-0.006829306,-0.001451843,-3.24E-05
2014-12-02,-0.00071545,0.006384409,-0.002316469,-0.000418142
2014-12-03,0.000954616,0.003764729,0,-0.00154606
2014-12-04,0.009576793,-0.001161821,0.001383228,-0.000999635
2014-12-05,0.000708494,0.001665122,-0.002787302,0.000225633
2014-12-08,-0.002084644,-0.007256537,0.001385179,-0.001646507
2014-12-09,-0.001970754,-0.000237828,0.001432665,0.001212664
2014-12-10,-0.015244264,-0.016350943,0.001011297,-0.000360599
2014-12-11,-0.015279727,0.004535718,0.000320331,0.001802417
2014-12-12,0.003665391,-0.016213587,0.00339935,0.000654635
2014-12-15,-0.000689823,-0.006342611,-0.001350223,-0.000196446
2014-12-16,-0.007471474,-0.008489016,0.002138696,0.000359915
2014-12-17,-0.002904717,0.020352403,-0.002820978,-0.001078745
2014-12-18,0.000410307,0.024015222,-0.002509163,-0.000523722
2014-12-19,0.016979739,0.004570087,0.001159091,0.000523997
2014-12-22,0.007017261,0.003810398,7.39E-05,0.000916361
2014-12-23,-0.002563076,0.001746418,-0.003472992,6.55E-05
2014-12-24,0.004055248,-0.000139278,0.000346038,0.000621119
2014-12-26,-8.00E-05,0.003309509,0.000543586,-6.54E-05
2014-12-29,-0.014997001,0.000861751,0.001580481,0.000653189
2014-12-30,-0.009135201,-0.004888619,0.000912274,0.000652763
2015-01-02,0.003032166,-0.010647247,0.002783594,-0.000554608
2015-01-05,-0.002165121,-0.018278107,0.00250565,0.000816485
2015-01-06,-0.017727012,-0.008893486,0.003283509,0.001402646
2015-01-07,0.002500729,0.011629823,0.000170965,3.23E-05
2015-01-08,0.014177026,0.017888346,-0.001684941,0.000325616
2015-01-09,0.008649668,-0.008403891,0.0022993,0.000391343
2015-01-12,-0.001422475,-0.008093662,0.001732722,0.001562324
